feature,importance
fire_vecinos_3d,0.7331292
subregion_id,0.02532861
elevation,0.020524673
ffmc,0.017873803
mes_sin,0.015470888
pop_density_km2,0.012262797
precipitation,0.010842275
land_cover_cat,0.009578116
solar_radiation,0.008261807
relative_humidity,0.0074628172
fwi_x_vpd,0.007141439
dia_sin,0.006971693
temp_x_dry,0.0068590934
ndvi_anomaly,0.006498653
dia_cos,0.0064550773
soil_moisture_28_100cm,0.0063871406
mes_cos,0.0062374123
slope,0.0054510655
fwi_vecinos_mean,0.0053409403
ndvi,0.005067281
fwi_vecinos_max,0.0048826723
soil_moisture_0_7cm,0.0047163838
aspect,0.0046981066
wind_speed_10m_roll30,0.0046758605
dist_road_km,0.004605619
fwi,0.0044916933
vpd_kpa,0.0042877486
dias_secos,0.0042454884
temperature_2m_roll30,0.0041885986
isi,0.0041680397
fwi_roll30,0.004040079
bui,0.0037486297
spi_90d,0.0036566255
wind_x_fwi,0.0035341494
temperature_2m,0.003491888
dmc,0.003473113
fwi_roll14,0.003386685
calendario_agricola,0.0033245222
wind_speed_10m,0.0032392445
