,valor
auc_roc,0.8965344780215139
avg_precision,0.30375504080219073
best_f1_threshold,0.8685798048973083
best_f2_threshold,0.7482988238334656
precision_at_f1,0.33401874811006954
recall_at_f1,0.4240958304538125
f1_at_f1,0.37370593409567626
fp_at_f1,11012
precision_at_f2,0.2184994045256054
recall_at_f2,0.6339553098364432
val_auc_roc,0.8867412388559794
val_avg_precision,0.11617365437612877
n_sparrows,15
n_iter,15
train_size,81212
val_size,137921
test_size,416024
spin_up_end,2022-03-01
validation_split_date,2024-05-01
temporal_split_date,2024-07-01
best_iteration,237
dataset_md5,b3dbb69cf2d8526b93eb92424299324b
random_state,42
