threshold,precision,recall,f1,tp,fp,fn,tn,alerts
0.2,0.05548993856486827,0.9668279198341396,0.1049560494979765,12591,214315,432,188686,226906
0.25,0.06331790738300284,0.9518544114259387,0.11873733818014624,12396,183378,627,219623,195774
0.3,0.07155709749500176,0.9344237118943408,0.1329342429389949,12169,157891,854,245110,170060
0.35,0.08048984436112534,0.9165322890271059,0.1479837584849518,11936,136356,1087,266645,148292
0.4,0.09017320443700812,0.8938800583582892,0.1638204603184655,11641,117455,1382,285546,129096
0.45,0.10163131845551843,0.8735314443676572,0.18207863505045738,11376,100558,1647,302443,111934
0.5,0.11474029887972066,0.8478077247945942,0.20212541991231042,11041,85185,1982,317816,96226
0.55,0.12913738174566503,0.8154803040774016,0.22296637658643098,10620,71618,2403,331383,82238
0.6,0.14697068403908795,0.7795438838977194,0.2473141854856391,10152,58923,2871,344078,69075
0.65,0.16736985250531747,0.73715733701912,0.2728008979696225,9600,47758,3423,355243,57358
0.7,0.19196744136232194,0.688167088996391,0.3001942788236083,8962,37723,4061,365278,46685
0.8,0.25661209068010077,0.5632342778161714,0.35258490157906125,7335,21249,5688,381752,28584
